Date,Close/Last,Volume,Open,High,Low
5/12/2023,$21.51 ,3462133,$22.68 ,$22.68 ,$21.12 
5/11/2023,$22.00 ,15089800,$21.76 ,$23.00 ,$20.90 
5/10/2023,$17.81 ,4608865,$17.74 ,$18.06 ,$17.57 
5/9/2023,$17.33 ,3298704,$17.41 ,$17.75 ,$17.25 
5/8/2023,$17.62 ,2333738,$17.20 ,$17.92 ,$17.20 
5/5/2023,$17.16 ,1757471,$16.90 ,$17.26 ,$16.85 
5/4/2023,$16.62 ,2322952,$16.65 ,$17.04 ,$16.56 
5/3/2023,$16.45 ,2243240,$16.36 ,$17.19 ,$16.35 
5/2/2023,$16.26 ,2790641,$16.81 ,$16.91 ,$15.70 
5/1/2023,$16.87 ,3190820,$16.97 ,$17.11 ,$16.69 
4/28/2023,$17.00 ,2051495,$16.96 ,$17.32 ,$16.68 
4/27/2023,$17.03 ,2945295,$16.48 ,$17.34 ,$16.38 
4/26/2023,$15.94 ,3048987,$15.76 ,$16.37 ,$15.61 
4/25/2023,$15.44 ,1740861,$15.76 ,$15.79 ,$15.41 
4/24/2023,$15.86 ,2439934,$16.53 ,$16.59 ,$15.59 
4/21/2023,$16.43 ,2039801,$16.59 ,$16.72 ,$16.32 
4/20/2023,$16.49 ,2077011,$16.50 ,$16.86 ,$16.39 
4/19/2023,$16.77 ,2262778,$16.33 ,$17.08 ,$16.27 
4/18/2023,$16.60 ,1790807,$16.61 ,$16.73 ,$16.33 
4/17/2023,$16.34 ,2329815,$16.41 ,$16.85 ,$16.17 
4/14/2023,$16.47 ,2246866,$16.30 ,$16.56 ,$16.12 
4/13/2023,$16.36 ,2961475,$16.37 ,$16.83 ,$16.30 
4/12/2023,$16.16 ,2765251,$16.41 ,$16.41 ,$15.85 
4/11/2023,$15.96 ,2145980,$15.86 ,$16.16 ,$15.77 
4/10/2023,$15.86 ,2247541,$15.45 ,$15.92 ,$15.26 
4/6/2023,$15.72 ,2306470,$15.62 ,$15.95 ,$15.26 
4/5/2023,$15.70 ,3350698,$16.31 ,$16.36 ,$15.25 
4/4/2023,$16.40 ,2607764,$15.92 ,$16.56 ,$15.92 
4/3/2023,$15.83 ,2150933,$15.62 ,$16.01 ,$15.56 
3/31/2023,$15.75 ,2517940,$15.22 ,$15.88 ,$15.07 
3/30/2023,$15.00 ,2675918,$15.34 ,$15.38 ,$14.91 
3/29/2023,$14.98 ,2725811,$14.28 ,$15.06 ,$14.24 
3/28/2023,$13.97 ,1740101,$14.11 ,$14.15 ,$13.83 
3/27/2023,$14.15 ,2424008,$14.25 ,$14.35 ,$13.69 
3/24/2023,$14.17 ,1728320,$14.15 ,$14.35 ,$13.85 
3/23/2023,$14.19 ,1817181,$14.15 ,$14.74 ,$14.05 
3/22/2023,$13.81 ,2212401,$14.27 ,$14.41 ,$13.79 
3/21/2023,$14.24 ,2483371,$13.76 ,$14.41 ,$13.64 
3/20/2023,$13.60 ,2591521,$13.41 ,$14.06 ,$13.23 
3/17/2023,$13.52 ,6121607,$13.68 ,$14.00 ,$13.48 
3/16/2023,$13.76 ,3313104,$13.67 ,$14.05 ,$13.54 
3/15/2023,$13.59 ,3235076,$12.40 ,$13.69 ,$12.36 
3/14/2023,$12.77 ,2054282,$12.82 ,$12.93 ,$12.62 
3/13/2023,$12.41 ,2417822,$12.14 ,$12.71 ,$11.69 
3/10/2023,$12.31 ,2316917,$12.75 ,$12.75 ,$11.92 
3/9/2023,$12.78 ,1574896,$13.23 ,$13.58 ,$12.71 
3/8/2023,$13.29 ,1760988,$13.42 ,$13.59 ,$13.18 
3/7/2023,$13.44 ,1885609,$13.67 ,$13.95 ,$13.35 
3/6/2023,$13.61 ,1586422,$14.01 ,$14.18 ,$13.50 
3/3/2023,$13.95 ,2183316,$13.94 ,$14.29 ,$13.80 
3/2/2023,$13.70 ,1393180,$13.26 ,$13.71 ,$13.13 
3/1/2023,$13.38 ,1817797,$13.50 ,$13.59 ,$13.24 
2/28/2023,$13.50 ,2297097,$13.34 ,$13.72 ,$13.29 
2/27/2023,$13.41 ,2751512,$14.45 ,$14.56 ,$13.37 
2/24/2023,$14.21 ,3171028,$14.06 ,$14.51 ,$14.01 
2/23/2023,$14.49 ,3350581,$14.65 ,$15.05 ,$14.12 
2/22/2023,$15.17 ,3225963,$14.20 ,$15.31 ,$14.11 
2/21/2023,$14.20 ,2920786,$14.62 ,$14.79 ,$14.19 
2/17/2023,$14.99 ,2701121,$15.45 ,$15.59 ,$14.93 
2/16/2023,$15.60 ,3155921,$16.21 ,$16.59 ,$15.59 
2/15/2023,$16.87 ,3881632,$15.94 ,$17.02 ,$15.79 
2/14/2023,$15.97 ,3283195,$15.59 ,$16.22 ,$15.17 
2/13/2023,$15.86 ,4817565,$15.39 ,$16.11 ,$14.39 
2/10/2023,$15.29 ,5111595,$15.71 ,$16.14 ,$15.14 
2/9/2023,$16.11 ,14681560,$17.27 ,$17.38 ,$16.05 
2/8/2023,$12.68 ,7109323,$12.75 ,$13.13 ,$12.42 
2/7/2023,$12.85 ,2901947,$12.58 ,$12.93 ,$12.35 
2/6/2023,$12.60 ,3526764,$12.94 ,$13.14 ,$12.49 
2/3/2023,$13.22 ,2688518,$13.49 ,$14.05 ,$13.17 
2/2/2023,$14.19 ,5440921,$13.96 ,$14.53 ,$13.48 
2/1/2023,$13.36 ,3002904,$12.76 ,$13.36 ,$12.44 
1/31/2023,$12.70 ,2207054,$12.30 ,$12.71 ,$12.18 
1/30/2023,$12.21 ,2764126,$12.20 ,$12.49 ,$11.81 
1/27/2023,$12.59 ,2602614,$11.76 ,$12.68 ,$11.76 
1/26/2023,$11.90 ,1905866,$12.22 ,$12.28 ,$11.77 
